DateCreated,CumulativeStations
2021-12-08T13:35:00Z,497
2021-12-08T13:38:00Z,498
2021-12-08T13:40:00Z,499
2021-12-08T13:44:00Z,500
2021-12-08T13:52:00Z,501
2021-12-08T13:57:00Z,502
2021-12-08T14:01:00Z,503
2021-12-08T14:02:00Z,504
2021-12-08T14:04:00Z,505
2021-12-08T14:07:00Z,506
2021-12-08T14:11:00Z,507
2021-12-08T14:14:00Z,508
2021-12-09T02:37:00Z,509
2021-12-09T02:54:00Z,510
2021-12-09T03:00:00Z,511
2021-12-09T03:03:00Z,512
2021-12-09T03:16:00Z,513
2021-12-09T03:24:00Z,514
2021-12-09T04:03:00Z,515
2021-12-09T04:12:00Z,516
2021-12-09T04:16:00Z,517
2021-12-09T04:30:00Z,518
2021-12-09T04:37:00Z,519
2021-12-09T04:41:00Z,520
2021-12-09T05:04:00Z,521
2021-12-10T10:26:00Z,522
2021-12-10T18:30:00Z,523
2021-12-10T22:12:00Z,524
2021-12-11T02:01:00Z,525
2021-12-11T10:07:00Z,526
2021-12-15T05:33:00Z,527
2021-12-16T16:57:00Z,528
2021-12-16T17:02:00Z,529
2021-12-16T17:19:00Z,530
2021-12-16T17:24:00Z,531
2021-12-17T02:36:00Z,532
2021-12-17T02:46:00Z,533
2021-12-17T02:49:00Z,534
2021-12-17T03:08:00Z,535
2021-12-17T03:29:00Z,536
2021-12-17T03:37:00Z,537
2021-12-17T03:39:00Z,538
2021-12-17T03:45:00Z,539
2021-12-17T04:02:00Z,540
2021-12-17T04:11:00Z,541
2021-12-19T02:34:00Z,542
2021-12-20T03:09:00Z,543
2021-12-23T23:01:00Z,544
2021-12-27T06:12:00Z,545
2021-12-28T03:50:00Z,546
2021-12-28T21:26:00Z,547
2021-12-29T23:50:00Z,548
2022-01-01T11:01:00Z,549
2022-01-03T13:51:00Z,550
2022-01-04T06:19:00Z,551
2022-01-14T17:29:00Z,552
2022-01-14T20:03:00Z,553
2022-01-15T03:38:00Z,554
2022-01-16T05:07:00Z,555
2022-01-16T05:50:00Z,556
2022-01-19T23:03:00Z,557
2022-01-19T23:15:00Z,558
2022-01-23T04:49:00Z,559
2022-01-23T04:53:00Z,560
2022-01-23T04:57:00Z,561
2022-01-23T05:05:00Z,562
2022-01-23T05:07:00Z,563
2022-01-23T05:11:00Z,564
2022-01-24T01:57:00Z,565
2022-01-24T13:02:00Z,566
2022-01-27T02:20:00Z,567
2022-02-02T13:06:00Z,568
2022-02-03T04:09:00Z,569
2022-02-08T04:10:00Z,570
2022-02-10T03:48:00Z,571
2022-02-15T03:12:00Z,572
2022-02-24T16:59:00Z,573
2022-02-24T17:02:00Z,574
2022-02-27T14:17:00Z,575
2022-03-06T00:57:00Z,576
2022-03-06T01:09:00Z,577
2022-03-06T01:19:00Z,578
2022-03-06T01:26:00Z,579
2022-03-06T01:33:00Z,580
2022-03-06T01:37:00Z,581
2022-03-06T01:42:00Z,582
2022-03-06T01:51:00Z,583
2022-03-06T01:58:00Z,584
2022-03-06T04:47:00Z,585
2022-03-06T05:01:00Z,586
2022-03-06T05:06:00Z,587
2022-03-06T05:27:00Z,588
2022-03-06T05:34:00Z,589
2022-03-06T05:40:00Z,590
2022-03-06T05:44:00Z,591
2022-03-06T05:49:00Z,592
2022-03-06T05:53:00Z,593
2022-03-06T05:56:00Z,594
2022-03-06T06:03:00Z,595
2022-03-06T06:31:00Z,596
2022-03-08T07:22:00Z,597
2022-03-10T11:57:00Z,598
2022-03-10T12:01:00Z,599
2022-03-10T12:04:00Z,600
2022-03-10T12:05:00Z,601
2022-03-10T12:07:00Z,602
2022-03-10T12:09:00Z,603
2022-03-10T12:13:00Z,604
2022-03-11T11:33:00Z,605
2022-04-01T01:06:00Z,606
2022-04-23T04:30:00Z,607
2022-04-28T11:34:00Z,608
2022-05-04T23:25:00Z,609
2022-05-05T06:56:00Z,610
2022-05-06T00:30:00Z,611
2022-05-13T16:30:00Z,612
2022-06-06T06:32:00Z,613
2022-06-07T07:49:00Z,614
2022-06-07T07:57:00Z,615
2022-06-07T08:01:00Z,616
2022-06-27T17:31:00Z,617
2022-07-01T02:21:00Z,618
2022-07-03T01:54:00Z,619
2022-07-06T12:42:00Z,620
2022-07-06T12:49:00Z,621
2022-07-08T04:30:00Z,622
2022-07-13T03:57:00Z,623
2022-07-29T13:47:00Z,624
2022-08-05T19:18:00Z,625
2022-08-05T19:24:00Z,626
2022-08-14T12:07:00Z,627
2022-09-02T08:16:00Z,628
2022-09-02T08:24:00Z,629
2022-09-02T08:30:00Z,630
2022-09-02T08:35:00Z,631
2022-09-02T08:40:00Z,632
2022-09-04T12:12:00Z,633
2022-09-07T06:20:00Z,634
