lon,lat,proj_lon,proj_lat,distance_to_closest_station
115,-41,-1622279.2477829533,-1530018.1331454767,685.7249802431323
115,-40,-1639278.6728376022,-1418437.2499765384,578.2527584660235
115,-39,-1656203.217111134,-1307347.869529756,472.4483486062426
115,-38,-1673059.3370755143,-1196707.612792793,369.72886460082617
115,-37,-1689853.2975257381,-1086475.3588832566,273.5680056665807
115,-36,-1706591.188727139,-976611.1324971312,183.09277868206988
115,-35,-1723278.942330124,-867075.999447589,77.35444321541998
115,-34,-1739922.34618601,-757831.969416753,7.558709988767026
115,-33,-1756527.0581827322,-648841.9051408176,62.81015865053315
115,-32,-1773098.6192063096,-540069.4373335589,70.77464502720117
115,-31,-1789642.4653227448,-431478.8847267214,31.820300265270863
115,-30,-1806163.9392653564,-323035.17866943596,33.79648968010599
115,-29,-1822668.3013040684,-214703.79178433822,44.50456351228122
115,-28,-1839160.7395658472,-106450.67022625475,52.89463835419321
115,-27,-1855646.3798690634,1757.8308686263263,43.28477477990267
115,-26,-1872130.2951289844,109955.00911853921,70.36428048032943
115,-25,-1888617.5143867335,218173.87416047705,111.01839677173228
115,-24,-1905113.031509843,326447.20475888485,157.39817974369385
115,-23,-1921621.813608831,434807.6040504423,72.17169743836779
115,-22,-1938148.8092110856,543287.5531958049,41.10945563606332
115,-21,-1954698.9562305599,651919.4636911349,73.21374264300049
115,-20,-1971277.1897694669,760735.7285768851,183.15339957863287
115,-19,-1987888.4497861275,869768.7727680451,272.6551759329819
115,-18,-2004537.688661472,979051.1027191689,359.6518857163739
115,-17,-2021229.878695275,1088615.3556281887,456.9919230276468
115,-16,-2037970.0195620928,1198494.3483757193,559.2966006639898
115,-15,-2054763.1457559802,1308721.1263907196,664.2711806288019
115,-14,-2071614.3340524195,1419329.0126291153,770.8217652829924
115,-13,-2088528.7110154377,1530351.6568490618,878.3719216535472
115,-12,-2105511.460577696,1641823.085365137,986.5923327170203
115,-11,-2122567.8317212695,1753777.7514634822,1091.5437667062677
116,-44,-1488674.0651130266,-1855982.6379462415,1003.8914161561512
116,-43,-1505036.7878576429,-1742524.7110821477,893.0681583313265
116,-42,-1521308.9128881204,-1629694.9821644006,782.3429413364979
116,-41,-1537497.2156847427,-1517446.4705065668,671.754518809521
116,-40,-1553608.2327771964,-1405733.8522882317,561.3721286648313
116,-39,-1569648.2824374812,-1294513.3170718765,451.332584660161
116,-38,-1585623.4837154984,-1183742.4358114952,341.948167299826
116,-37,-1601539.7740014195,-1073380.0390763998,234.1115766386142
116,-36,-1617402.9252768594,-963386.1043667807,131.63398167511713
116,-35,-1633218.5591978915,-853721.6515291778,42.5105412530175
116,-34,-1648992.1611365906,-744348.6453934414,13.550668877490825
116,-33,-1664729.093293676,-635229.9048506283,13.063374820626267
116,-32,-1680434.6069825923,-526329.0176760673,3.173145942097158
116,-31,-1696113.8541747741,-417610.2604753475,20.50419437536211
116,-30,-1711771.8983866372,-309038.52319471375,56.193914164524614
116,-29,-1727413.7249808267,-200579.23769296013,23.370432421757542
116,-28,-1743044.250947297,-92198.30992013,77.28086086062439
116,-27,-1758668.334223721,16137.944709514684,139.08336554174636
116,-26,-1774290.7826094395,124462.86312617094,160.14361298949976
116,-25,-1789916.3623225598,232809.4939387959,191.7062031486265
116,-24,-1805549.8062458057,341210.65461122367,169.2249703850783
116,-23,-1821195.8219032388,449698.98677217547,71.99951471959459
116,-22,-1836859.0992069622,558307.0099303375,79.12114626332925
116,-21,-1852544.3180103153,667067.1738476595,92.47104006233205
116,-20,-1868256.155501841,776011.909808587,120.22115307334408
116,-19,-1883999.2934724062,885173.6810097365,211.62420229748255
116,-18,-1899778.4254862657,994585.0322835591,315.61402101411323
116,-17,-1915598.2639855414,1104278.63936024,423.00291685144794
116,-16,-1931463.5473565003,1214287.3578647834,531.7288620969655
116,-15,-1947379.046985205,1324644.2722403705,641.1069121895889
116,-14,-1963349.574329472,1435382.7447848038,750.8481723627641
116,-13,-1979379.988033662,1546536.464983941,860.8105907719315
116,-12,-1995475.201112623,1658139.499324645,936.1774014387588
116,-11,-2011640.1882310666,1770226.34176942,1017.6742726041298
117,-44,-1406490.0228200716,-1844463.7768436961,998.8555706190217
117,-43,-1421949.4217750244,-1730879.240713697,888.1672064944206
117,-42,-1437323.2245716155,-1617923.603544801,777.6154845333878
117,-41,-1452617.83264159,-1505549.8322241781,667.2585321663232
117,-40,-1467839.4216576514,-1393712.5523539355,557.200389298823
117,-39,-1482993.961083994,-1282367.9046078844,447.24104772929786
117,-38,-1498087.2321610095,-1171473.41259286,336.4516744300435
117,-37,-1513124.8444981037,-1060987.8609366375,225.8936313183399
117,-36,-1528112.2514277045,-950871.1824777491,116.17454040341812
117,-35,-1543054.7642555996,-841084.3535642453,24.352095015082035
117,-34,-1557957.5655273015,-731589.2965820039,23.178452337798866
117,-33,-1572825.7214167884,-622348.7889311666,11.632944786402351
117,-32,-1587664.1933324307,-513326.3777541625,13.567787519890496
117,-31,-1602477.8488248836,-404486.2997923489,21.368006629426162
117,-30,-1617271.471873048,-295793.40581218037,44.7134514850289
117,-29,-1632049.772616629,-187213.08909738137,78.78079484732068
117,-28,-1646817.3965972355,-78711.21755197873,49.436839956328086
117,-27,-1661578.9335642492,29745.930998863685,152.4535457441499
117,-26,-1676338.9258966646,138191.73068648006,254.62375417336108
117,-25,-1691101.8766877872,246659.26699922825,210.81375195088248
117,-24,-1705872.257535856,355181.394022402,112.05808506144295
117,-23,-1720654.5160804056,463790.7898099663,72.16644569043306
