N,X,Y
BP SOUTH WEST HIGHWAY,116.014595,-32.168824
CALTEX CASTLETOWN ESPERANCE,121.899807,-33.838077
BP BALDIVIS NORTHBOUND TRAVEL CENTRE,115.830397,-32.309137
PUMA KIARA,115.93832,-31.887138
AMPOL FOODARY ASHBY,115.80416,-31.73256
UNITED SOUTHERN RIVER,115.954582,-32.121136
COLES EXPRESS MYAREE,115.815331,-32.039552
CALTEX MORLEY,115.925393,-31.875947
CHIDLOW GROWERS MART LIQUOR STORE,116.265987,-31.857699
VIBE FORRESTFIELD,115.992227,-31.961356
COLES EXPRESS WESTFIELD,116.000961,-32.130591
INDEPENDENT MILING,116.361684,-30.492163
CALTEX APPLECROSS,115.850947,-32.011444
COLES EXPRESS FORRESTFIELD,116.010652,-31.988698
AMPOL FOODARY MALAGA DRIVE,115.893921,-31.863189
BP CONNECT ASCOT,115.927391,-31.940211
BP GIDGEGANNUP,116.194019,-31.793108
BP CANNINGTON,115.941845,-32.025776
BP MULLALOO,115.744062,-31.779962
GIBSON SOAK STORE,121.814067,-33.652101
CALTEX DOUBLEVIEW,115.794037,-31.901431
PUMA HENDERSON OPT,115.770485,-32.15551
AMPOL NEWMAN,119.732579,-23.370584
BP CONNECT MYAREE,115.820261,-32.045763
INDEPENDENT WOOGENELLUP,117.99454,-34.583967
7-ELEVEN CAVERSHAM,115.974566,-31.875469
BP KALBARRI,114.172786,-27.701312
CALTEX WOOLWORTHS BASSENDEAN,115.95921,-31.90118
VIBE CANNING VALE,115.922947,-32.075096
CALTEX WOOLWORTHS ESPERANCE,121.894032,-33.857983
CALTEX DAWESVILLE,115.670339,-32.720087
MARGARET RIVER SHELL,115.07472,-33.94685
CALTEX MANDURAH,115.7438617,-32.5173183
CALTEX CARNARVON,113.70093,-24.862256
INDEPENDENT DARDANUP,115.754482,-33.399509
BP CONNECT WEST COAST,115.758136,-31.89468
7-ELEVEN MADDINGTON SOUTH,115.9886,-32.055377
CALTEX MOUNT LAWLEY,115.881851,-31.925252
CALTEX BELMONT,115.933225,-31.937678
BP QUAIRADING,117.3942,-32.012973
VIBE PORT KENNEDY,115.762171,-32.371578
BP REDCLIFF,115.944922,-31.930371
UNITED LEXIA,115.899559,-31.795189
CALTEX FREMANTLE EAST,115.766357,-32.040661
INDEPENDENT BREMER BAY,119.380242,-34.392268
PUMA MUNDARING,116.164609,-31.902194
CALTEX KALGOORLIE,121.452803,-30.764702
PUMA MOUNT LAWLEY,115.884014,-31.934473
LORI'S FUEL SUPPLY,116.009481,-32.135359
AMPOL FOODARY GOSNELLS,115.988117,-32.079794
BP KARRATHA,116.841582,-20.73378
BP BROOME CENTRAL,122.237274,-17.955117
BP SOUTHERN CROSS,119.331396,-31.231654
COLES EXPRESS DONGARA ROADHOUSE,114.958835,-29.252893
CALTEX COLLIE,116.152683,-33.359654
CALTEX CANNING VALE,115.92634,-32.063287
BP DUNSBOROUGH,115.105983,-33.615718
BP SOUTH HEDLAND,118.60172,-20.40904
BP SAWYERS VALLEY,116.205032,-31.903211
BP PORT HEDLAND,118.587394,-20.312179
BP JURIEN BAY,115.040462,-30.30365
BP WILLIAMS,116.880098,-33.03214
MUNGLINUP ROADHOUSE,120.860716,-33.705032
PUMA VICTORIA PARK,115.891981,-31.969957
INDEPENDENT JERRAMUNGUP,118.919733,-33.939949
7-ELEVEN GOSNELLS,115.998682,-32.089802
PADBURY,115.7741148,-31.81890988
COLES EXPRESS BROOME,122.241748,-17.955577
CALTEX WOOLWORTHS ALKIMOS,115.680898,-31.601902
SHELL FRESH TRADING CO WELSHPOOL,115.919139,-31.993707
INDEPENDENT COWARAMUP,115.103309,-33.850207
COLES EXPRESS MADDINGTON,115.979919,-32.055324
INDEPENDENT KUMARINA,119.6075,-24.710789
BP MAIDA VALE,116.024063,-31.953569
WOOLWORTHS CALTEX FORRESTFIELD,116.008525,-31.98801
AMPOL KIRUP,115.894301,-33.711732
NORTHBRIDGE,115.8523794,-31.94566152
CALTEX NOWERGUP,115.718745,-31.625796
PUMA BALDIVIS,115.80765,-32.353665
PUMA BAYSWATER,115.929069,-31.919556
INDEPENDENT BALINGUP,115.98394,-33.784052
PUMA GWELUP,115.79678,-31.876337
LIBERTY HYDEN,118.867462,-32.448212
COLES EXPRESS WANNEROO PEARSALLS,115.808312,-31.78017
AMPOL FOODARY BUTLER,115.71258,-31.65413
COLES EXPRESS DUNCRAIG,115.78304,-31.835614
BP CONNECT KARRINYUP,115.775645,-31.876754
COLES EXPRESS FREMANTLE,115.756631,-32.063301
WISE'S GARAGE,115.07358,-33.950685
CALTEX CHITTERING,116.053632,-31.465147
BP THORNLIE,115.936309,-32.063416
BETTER CHOICE STRATTON,116.034377,-31.869738
BP BUCCANEER,122.218094,-17.971146
CALTEX MANJIMUP,116.149293,-34.232794
CALTEX WOOLWORTHS WARNBRO,115.761444,-32.345819
INDEPENDENT WANNEROO,115.803339,-31.75262
BP NORANDA,115.894419,-31.875858
BP KARDINYA,115.819948,-32.06903
INDEPENDENT BRUCE ROCK,118.147697,-31.877025
COLES EXPRESS MALAGA,115.879245,-31.86338
BP CONNECT NOOKENBURRA,115.799188,-31.902628
CALTEX WOOLWORTHS KELMSCOTT,116.015409,-32.116096
BP BELDON,115.767188,-31.770732
PUMA NORTH PERTH,115.85796,-31.936638
7-ELEVEN FORRESTDALE,115.956257,-32.123564
BROWN RANGE,113.7011491,-24.88200543
BP SHINJU,122.223877,-17.963828
AMPOL FOODARY ASCOT,115.926337,-31.94098
BP WONTHELLA,114.62538,-28.758943
COLES EXPRESS BAYSWATER,115.92665,-31.906734
TRADEWINDS SUPERMARKET,113.538066,-25.929681
BP SUBIACO,115.83107,-31.952271
AMPOL THE FOODARY COCKBURN CENTRAL,115.862138,-32.126786
BP PRINCESS ROAD,115.837298,-31.856414
GIDGIE ONE STOP,116.228984,-31.777965
AMPOL FOODARY FORRESTDALE,115.965549,-32.146558
INDEPENDENT GREENBUSHES,116.058862,-33.848481
UNITED BYFORD,116.0080304,-32.2154436
BP NORSEMAN,121.779547,-32.185824
BP APPLECROSS,115.843231,-32.015101
COLES EXPRESS CLARKSON,115.716022,-31.691818
GULL MADELEY,115.82135,-31.816954
GULL VASSE,115.250554,-33.675939
COLES EXPRESS MEEKATHARRA ROADHOUSE,118.491594,-26.598296
NUNGARIN GENERAL STORE,118.101531,-31.184219
BP CLARKSON,115.724971,-31.693579
KUNUNURRA,128.710424,-15.784978
BP NARROGIN,117.179108,-32.933297
BP ARMADALE,116.020268,-32.148408
BP WHALEBACK,119.74131,-23.350673
WOOLWORTHS CALTEX NORTHAM,116.671535,-31.655114
BP EMBLETON,115.923206,-31.8951
BP ROSEGARDEN,115.79827,-31.979793
THOMPSONS GARAGE,116.147202,-34.239273
CARNAMAH COMMUNITY ROADHOUSE,115.8847475,-29.68934804
MILPARA,117.872435,-34.99509241
CALTEX EAST PERTH,115.869412,-31.948521
BP COLLINS ROAD,115.903659,-32.055672
AMPOL BRIDGETOWN,116.136917,-33.957266
JUNA'S ROADHOUSE,114.63052,-28.35703
WOOLWORTHS CALTEX MADDINGTON,115.980652,-32.053162
CALTEX OSBORNE PARK,115.828517,-31.913652
BP CONNECT WEMBLEY,115.820223,-31.940455
COLES EXPRESS KARDINYA,115.815269,-32.067451
CALTEX WOOLWORTHS OSBORNE PARK,115.81401,-31.91058
CALTEX MADDINGTON,115.999172,-32.03501
CALTEX CATABY,115.539066,-30.735823
LIBERTY BANKSIA GROVE ,115.798512,-31.703225
